Diagnosed Diabetes; Female (Gender); Adults Aged 18+ Years; Crude Percentage; U.S. States
Data downloaded on 28-March-2022
Year,State,Percentage,LowerLimit,UpperLimit
2012,Mississippi,13,11.9,14.2
2012,Missouri,10,8.8,11.4
2012,Montana,6.7,5.9,7.5
2012,Nebraska,7.8,7.2,8.5
2012,Nevada,8.9,7.3,10.7
2012,New Hampshire,8,7.1,9
2012,New Jersey,8.8,8,9.6
2012,New Mexico,9.8,8.9,10.8
2012,New York,8.7,7.4,10.1
2012,North Carolina,10,9.2,10.9
2012,North Dakota,8.2,7.1,9.5
2012,Ohio,10.8,10,11.7
2012,Oklahoma,10.6,9.7,11.6
2012,Oregon,9.8,8.6,11.2
2012,Pennsylvania,10,9.2,10.8
2012,Rhode Island,9.3,8.1,10.7
2012,South Carolina,11.8,10.8,12.8
2012,South Dakota,8.2,7,9.6
2012,Tennessee,11.9,10.8,13.1
2012,Texas,10.3,9.3,11.4
2012,Utah,7,6.3,7.7
2012,Vermont,7,6.1,8.1
2012,Virginia,10.9,9.8,12.1
2012,Washington,8.9,8.1,9.7
2012,West Virginia,13.3,12.1,14.6
2012,Wisconsin,8.2,7,9.6
2012,Wyoming,8.2,7.1,9.6
2012,Guam,10.1,8,12.6
2012,Puerto Rico,17.6,16.3,19
2013,Virgin Islands of the U.S.,No Data,No Data,No Data
2013,Alabama,14.1,12.7,15.5
2013,Alaska,6.6,5.3,8.3
2013,Arizona,10,8.4,11.9
2013,Arkansas,10.5,9.2,11.9
2013,California,10.2,9.1,11.3
2013,Colorado,5.9,5.3,6.5
2013,Connecticut,7.6,6.6,8.6
2013,Delaware,11.2,9.9,12.7
2013,District of Columbia,8.5,7.3,9.8
2013,Florida,10.1,9.3,11.1
2013,Georgia,11.7,10.7,12.8
2013,Hawaii,8.4,7.2,9.8
2013,Idaho,7.3,6.3,8.5
2013,Illinois,10.2,8.9,11.6
2013,Indiana,10.3,9.5,11.2
2013,Iowa,9.4,8.5,10.4
2013,Kansas,9.3,8.8,9.9
2013,Kentucky,10.6,9.6,11.6
2013,Louisiana,12.8,11.3,14.3
2013,Maine,8.9,8,9.9
2013,Maryland,10,9.1,11
2013,Massachusetts,8.1,7.3,9
2013,Michigan,9.7,8.9,10.6
2013,Minnesota,7,6,8.2
2013,Mississippi,13.7,12.5,15
2013,Missouri,10.2,9.1,11.4
2013,Montana,7,6.2,8
2013,Nebraska,8.3,7.5,9.2
2013,Nevada,8.5,6.8,10.8
2013,New Hampshire,7.9,7,9
2013,New Jersey,8.3,7.4,9.2
2013,New Mexico,10.7,9.6,11.9
2013,New York,10.9,9.8,12.2
2013,North Carolina,11.3,10.2,12.4
2013,North Dakota,7.8,6.9,8.9
2013,Ohio,10.3,9.4,11.3
2013,Oklahoma,10.1,9.1,11.1
2013,Oregon,8.7,7.5,10
2013,Pennsylvania,10.1,9.2,11
2013,Rhode Island,8.2,7.3,9.3
2013,South Carolina,13.4,12.3,14.5
2013,South Dakota,9.2,7.8,10.7
2013,Tennessee,12,10.7,13.5
2013,Texas,10.4,9.2,11.7
2013,Utah,6.8,6.1,7.5
2013,Vermont,7.1,6.2,8.1
2013,Virginia,9.7,8.8,10.8
2013,Washington,8.1,7.3,9
2013,West Virginia,12.6,11.5,13.9
2013,Wisconsin,8.3,7.1,9.7
2013,Wyoming,8.7,7.6,9.9
2013,Guam,14.3,11.5,17.6
2013,Puerto Rico,15.7,14.4,17.1
2014,Virgin Islands of the U.S.,No Data,No Data,No Data
2014,Alabama,13,11.9,14.1
2014,Alaska,8.6,7.1,10.4
2014,Arizona,9.3,8.5,10.3
2014,Arkansas,12.5,11,14.1
2014,California,9.7,8.7,10.8
2014,Colorado,7,6.3,7.7
2014,Connecticut,9.1,8,10.3
2014,Delaware,10.6,9.3,12.2
2014,District of Columbia,8.9,7.3,10.8
2014,Florida,11.5,10.5,12.7
2014,Georgia,11.5,10.4,12.7
2014,Hawaii,9.4,8.2,10.8
2014,Idaho,7.5,6.4,8.7
2014,Illinois,9.7,8.5,11
2014,Indiana,10.3,9.4,11.1
2014,Iowa,8.8,7.9,9.8
2014,Kansas,10.4,9.6,11.1
2014,Kentucky,12.8,11.7,13.9
2014,Louisiana,11,10,12
2014,Maine,8.7,7.9,9.6
2014,Maryland,9.7,8.7,10.8
2014,Massachusetts,8.1,7.3,8.9
2014,Michigan,9.6,8.7,10.6
2014,Minnesota,7.5,6.9,8.1
2014,Mississippi,13.4,11.9,14.9
2014,Missouri,10.9,9.7,12.2
2014,Montana,8.5,7.5,9.8
2014,Nebraska,8.6,7.9,9.3
2014,Nevada,9,7.5,10.8
2014,New Hampshire,8.5,7.4,9.9
2014,New Jersey,9.2,8.3,10.1
2014,New Mexico,11.3,10.1,12.5
2014,New York,9.5,8.5,10.6
2014,North Carolina,10.7,9.7,11.8
2014,North Dakota,7.8,6.8,9
2014,Ohio,11.3,10.3,12.4
2014,Oklahoma,11.7,10.7,12.7
2014,Oregon,9.1,8,10.4
2014,Pennsylvania,10.6,9.7,11.6
2014,Rhode Island,8.5,7.6,9.6
2014,South Carolina,11.9,11,12.9
2014,South Dakota,8.6,7.2,10.3
2014,Tennessee,12.8,11.4,14.3
2014,Texas,10.5,9.5,11.5
2014,Utah,6.7,6.1,7.4
2014,Vermont,7,6.1,8.1
2014,Virginia,9.8,8.9,10.8
2014,Washington,8.1,7.3,9.1
2014,West Virginia,14.1,12.9,15.5
2014,Wisconsin,8.7,7.5,10.1
2014,Wyoming,7.4,6.3,8.7
2014,Guam,12,10.1,14.2
2014,Puerto Rico,16.4,15.1,17.8
2015,Virgin Islands of the U.S.,No Data,No Data,No Data
2015,Alabama,14,12.8,15.3
2015,Alaska,7.7,6,9.9
2015,Arizona,10.3,9.3,11.5
2015,Arkansas,13.9,12.3,15.7
2015,California,9.4,8.4,10.4
2015,Colorado,5.9,5.3,6.6
2015,Connecticut,8.3,7.5,9.2
2015,Delaware,10.8,9.4,12.5
2015,District of Columbia,8.8,7.4,10.4
2015,Florida,10.9,9.8,12
2015,Georgia,11.3,10,12.7
2015,Hawaii,8.4,7.3,9.7
2015,Idaho,8.7,7.6,10
2015,Illinois,9.1,7.9,10.3
2015,Indiana,10.7,9.4,12.1
2015,Iowa,7.9,7,9
2015,Kansas,9.6,9.1,10.2
2015,Kentucky,12.5,11.3,13.9
2015,Louisiana,12.7,11.4,14.1
2015,Maine,9.7,8.6,10.9
2015,Maryland,9.7,8.6,11
2015,Massachusetts,8.4,7.3,9.5
2015,Michigan,10,9.1,11
2015,Minnesota,7.1,6.5,7.7
2015,Mississippi,14.4,13.1,15.9
2015,Missouri,10.7,9.5,12
2015,Montana,7.6,6.5,8.8
2015,Nebraska,8.6,7.8,9.3
2015,Nevada,8.8,7,11
2015,New Hampshire,7.6,6.7,8.6
2015,New Jersey,8.1,7.3,9.1
2015,New Mexico,11.6,10.3,13.1
2015,New York,9.1,8.4,10
2015,North Carolina,11.1,10,12.3
2015,North Dakota,8.9,7.7,10.3
2015,Ohio,10.7,9.7,11.8
2015,Oklahoma,11.6,10.4,12.8
2015,Oregon,9.3,8.1,10.6
2015,Pennsylvania,9.9,8.7,11.3
2015,Rhode Island,8.3,7.2,9.6
2015,South Carolina,11.7,10.8,12.8
2015,South Dakota,8.3,7.1,9.8
2015,Tennessee,12.7,11.2,14.4
2015,Texas,10.6,9.5,11.8
2015,Utah,6.6,5.9,7.4
2015,Vermont,7.3,6.4,8.4
2015,Virginia,10.8,9.7,12.1
2015,Washington,7.9,7.2,8.6
2015,West Virginia,14.2,12.9,15.6
2015,Wisconsin,7.8,6.8,9
2015,Wyoming,7.2,6.1,8.3
2015,Guam,11.8,8.8,15.7
2015,Puerto Rico,18.2,16.8,19.6
2016,Alabama,14.4,13.1,15.9
2016,Alaska,7.3,5.7,9.2
2016,Arizona,9.5,8.5,10.5
2016,Arkansas,13.8,12,15.8
2016,California,9.9,8.9,11
2016,Colorado,6.4,5.8,7
2016,Connecticut,9.5,8.6,10.5
2016,Delaware,10.2,8.7,11.9
2016,District of Columbia,9.1,7.9,10.4
2016,Florida,11,10.2,12
2016,Georgia,12.3,11.1,13.7
2016,Hawaii,10,8.8,11.3
2016,Idaho,9,7.8,10.5
2016,Illinois,10.8,9.5,12.3
2016,Indiana,11.5,10.5,12.5
2016,Iowa,9.5,8.5,10.6
2016,Kansas,8.8,8.1,9.6
2016,Kentucky,12.3,11.3,13.5
2016,Louisiana,13.1,11.6,14.7
2016,Maine,9.7,8.7,10.8
2016,Maryland,10.1,9.4,10.9
2016,Massachusetts,8.8,7.7,9.9
2016,Michigan,10.3,9.4,11.2
2016,Minnesota,7.7,7.1,8.4
2016,Mississippi,14,12.6,15.5
2016,Missouri,11,9.8,12.4
2016,Montana,7.9,6.8,9.2
2016,Nebraska,8.9,8.1,9.8
2016,Nevada,11.4,9.8,13.3
2016,New Hampshire,7.5,6.6,8.6
2016,New Jersey,8.6,7.5,9.8
2016,New Mexico,11.1,9.7,12.6
2016,New York,10,9.1,10.9
2016,North Carolina,11.7,10.6,13
2016,North Dakota,7.8,6.8,8.9
2016,Ohio,10.7,9.8,11.7
2016,Oklahoma,11.7,10.6,12.9
2016,Oregon,9.2,8.1,10.4
2016,Pennsylvania,10.6,9.4,12
2016,Rhode Island,9.3,8.1,10.6
2016,South Carolina,13,12,14.1
2016,South Dakota,7.5,6.2,8.9
2016,Tennessee,12,10.8,13.4
2016,Texas,11.2,9.9,12.8
2016,Utah,6.6,5.9,7.4
2016,Vermont,7.9,6.9,9.1
2016,Virginia,10.2,9.2,11.2
2016,Washington,9.1,8.3,10
2016,West Virginia,14.8,13.6,16
2016,Wisconsin,8.2,7.1,9.5
2016,Wyoming,8.1,6.8,9.8
2016,Guam,11,8.4,14.2
2016,Puerto Rico,15.5,14.1,17.1
2016,Virgin Islands of the U.S.,13.3,10.5,16.8
2017,Virgin Islands of the U.S.,No Data,No Data,No Data
2017,Alabama,14.4,13.1,15.7
2017,Alaska,7.4,5.6,9.7
2017,Arizona,9.7,9,10.5
2017,Arkansas,12.4,10.8,14.3
2017,California,10,8.8,11.2
2017,Colorado,7.4,6.6,8.2
2017,Connecticut,9,8.1,10
2017,Delaware,10.5,9.1,12.1
2017,District of Columbia,8.7,7.5,10.1
2017,Florida,10.5,9.4,11.7
2017,Georgia,11.8,10.6,13.2
2017,Hawaii,11.4,10.1,12.9
2017,Idaho,9.2,7.9,10.7
2017,Illinois,10.5,9.3,11.8
2017,Indiana,11.3,10.5,12.1
2017,Iowa,9.7,8.8,10.8
2017,Kansas,10.3,9.7,11
2017,Kentucky,12.9,11.5,14.4
2017,Louisiana,14.3,12.7,16.1
2017,Maine,8.9,8,9.9
2017,Maryland,9.9,9,10.9
2017,Massachusetts,9.5,8.1,11.1
2017,Michigan,11,10.1,12
2017,Minnesota,6.6,6,7.2
2017,Mississippi,14.4,12.8,16
2017,Missouri,10.3,9.2,11.5
2017,Montana,7.8,6.6,9.1
2017,Nebraska,9.9,9,10.9
2017,Nevada,10.7,8.8,12.9
2017,New Hampshire,7.2,6.2,8.3
2017,New Jersey,10.2,9,11.4
2017,New Mexico,9.8,8.6,11.1
2017,New York,10.1,9.1,11.1
2017,North Carolina,11.2,9.8,12.8
2017,North Dakota,8.7,7.7,9.8
2017,Ohio,11.4,10.5,12.5
2017,Oklahoma,12.3,11.2,13.6
2017,Oregon,9.2,8,10.5
2017,Pennsylvania,9.9,8.7,11.2
2017,Rhode Island,8.4,7.3,9.8
2017,South Carolina,13.5,12.4,14.6
2017,South Dakota,10.2,8.7,12
2017,Tennessee,13,11.6,14.5
2017,Texas,11,9.5,12.7
2017,Utah,6.7,6,7.5
2017,Vermont,6.8,5.9,7.8
2017,Virginia,10.3,9.3,11.3
2017,Washington,8.9,8.1,9.8
2017,West Virginia,15.2,13.9,16.6
2017,Wisconsin,7.9,6.7,9.3
2017,Wyoming,8.3,7.2,9.6
2017,Guam,14.5,11.4,18.4
2017,Puerto Rico,18,16.2,19.9
2018,Virgin Islands of the U.S.,No Data,No Data,No Data
2018,Alabama,14.7,13.4,16.2
2018,Alaska,7.8,6.2,9.9
2018,Arizona,10.7,9.3,12.3
2018,Arkansas,13.4,12,14.9
2018,California,10.3,9.2,11.5
2018,Colorado,6.9,6.1,7.7
2018,Connecticut,8.7,7.8,9.6
2018,Delaware,10.8,9.5,12.2
2018,District of Columbia,8.7,7.6,10.1
2018,Florida,11.7,10.5,13
2018,Georgia,12.9,11.9,14
2018,Hawaii,10.6,9.4,12
2018,Idaho,10,8.5,11.8
2018,Illinois,10.3,9.1,11.7
2018,Indiana,11.4,10.4,12.5
2018,Iowa,9.8,8.9,10.7
2018,Kansas,11.6,10.7,12.6
2018,Kentucky,13.5,12.1,15
2018,Louisiana,14.5,12.9,16.3
2018,Maine,9.7,8.7,10.7
2018,Maryland,11.5,10.6,12.4
2018,Massachusetts,7.2,6.2,8.3
2018,Michigan,11,10,12.1
2018,Minnesota,8.1,7.5,8.8
2018,Mississippi,15.5,14.1,17.1
2018,Missouri,9.8,8.7,11
2018,Montana,8.3,7.1,9.7
2018,Nebraska,9.1,8.3,10
2018,Nevada,10.6,8.7,12.7
2018,New Hampshire,9.3,8.2,10.5
2018,New Jersey,11,8.8,13.8
2018,New Mexico,13.1,11.7,14.7
2018,New York,10.1,9.3,11
2018,North Carolina,12,10.6,13.5
2018,North Dakota,9,7.7,10.4
2018,Ohio,12.6,11.5,13.6
2018,Oklahoma,12.6,11.2,14
2018,Oregon,10.9,9.6,12.4
2018,Pennsylvania,11.1,9.8,12.5
2018,Rhode Island,9.2,8.1,10.5
2018,South Carolina,12.9,11.9,14
2018,South Dakota,9.2,7.8,10.8
2018,Tennessee,13.5,11.9,15.2
2018,Texas,12.1,10.4,14
2018,Utah,7.8,7,8.7
2018,Vermont,8.2,7.2,9.3
2018,Virginia,10.2,9.1,11.3
2018,Washington,9.5,8.7,10.4
2018,West Virginia,17.5,15.9,19.2
2018,Wisconsin,7.9,6.7,9.2
2018,Wyoming,8.7,7.5,10.1
2018,Guam,12.4,9.8,15.5
2018,Puerto Rico,16.1,14.6,17.7
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
